,Actor,Quotes
69,Mithun Chakraborty,"I have maintained a low profile throughout my career but have always done things in my own unique way, be it dancing or dressing up. On the dance floor, I had my own unique steps and often had to lead my choreographer.My fans know me and love me the way I am. I don't want to lie to my fans.My fan following is intact. They only like to see me in movies, which I am still doing for them. I do not need to do any long interviews or chat shows.I came into the industry as an actor. And moved on to become a star with the help of my dancing skills.My son is a better dancer than me. I always try to encourage him in his endeavours.I would like to produce films, but I feel I am an unsuccessful producer. That's the fact.Film line is all about chance. I don't think much, I just like to take chances.The success of the film should depend on its budget.I like Hrithik Roshan and Shahid Kapoor. They are amazing and very hard working when it comes to dance.Many Hindi films that are Tamil remakes rake in huge moolah in Bollywood."
70,Mohanlal,"There is no big problem in the Malayalam industry. You shouldn't think of the #MeToo as a movement, actually. It is a fad, and it is turning into something of a fashion. Anything like that will have a lifespan for a bit.Kunjali Marakkar is one of the first naval commanders of Kerala. He was an expert at his craft.I own a couple of restaurants in places like Dubai and Sharjah.Just like films, food is also a passion for me.Cinema is an art form, a result of dedication of a number of people.All my success belongs to those who have contributed in my pursuit of art, ranging from writers and directors to makeup artists, lighting crew, etc.I know it's a craze in Bollywood to have six-pack abs, but here, it's not the abs or the biceps that make us feel or look macho. Down south, the moustache still works for us!I liked the concept of 'Lucifer.''Oppam' is more of a director's movie, especially because I play a visually-challenged hero in it. The character doesn't have a perspective, and so cameras aren't placed like how they are usually done in other movies. The angles and the way the scenes are captured are different.We tend to have so many more close shots, which compels an artist to actually put in more effort than it is required otherwise. So, it is the expressions on the face, and how an actor presents his or her character, that really makes a scene. In such ways, Mollywood is a fabulous training ground for actors and actresses from other industries."
71,Mukesh Tiwari,"It hardly matters for me whether the role is comic or a serious one.For me, what is more important is the challenge the character poses for me as an actor.I am not a comedian.Perception towards Indian television has changed in past few years. It is no more such a small screen, in fact it has wider audience and we should admire it.I've always played negative roles because I think I'm better suited for them.I don't know about anyone else, but I got really scared looking at myself in the mirror when I got my hair cut for a role.I usually get a lot of compliments from people as they can't believe I'm the same person when they meet me.The children in my building don't know my real name! They are so fascinated with my 'Wasooli' look that they call me Wasooli Uncle.I learnt a thing or two about acting from theatre actor Robin Das who is from Odisha.I have done regional films before. They have a different flavour and promising future."
72,"N. T. Rama Rao, Jr.","I love being called NTR's grandson. I never moved away from his shadow, maybe because I didn't try enough or maybe because I like it this way.I believe in doing what I am best at.I don't want to waste my energy in other things; instead, I would put all that in reaching the next level in a craft that I love the most.I am a very shy person who is just close to himself. So I would refrain from talking about my personal life.I have been a very 'hyper boy' right from childhood. And while many liked that trait of mine, my friends didn't.During the early stages of our married life, Pranathi did struggle to adjust for a few months. But she is a very strong woman mentally, stronger than me.I am a typical Telugu boy dominated by all the qualities of a Hyderabadi because I was born and brought up here.Whenever I am stressed, I cook a good meal for my wife. Many people don't know this, but I'm actually a great cook.I've been given the opportunity to carry forward the legacy with which people associate me; I can't escape it even if I don't like it. I take pride in carrying forward what's been given to me.I was meant to be an actor, and I realised that only after my son was born."
73,Naga Chaitanya,"My mother was very strict, and though I was reserved, I did give in to certain demands of my age, like sneaking out of the house to hit Dublin.My father's only advice is to 'do what makes you happy,' and I follow it religiously.'Premam' moved me; it was almost like seeing life play out on screen.My holidays in Hyderabad would be spent on films sets visiting my father and uncle, or in the studios; I was gradually drawn to films.My father always watches my films and gives his opinion. I am even ready to reshoot at times if he asks me to.'Sailaja Reddy Alludu' bears similarity to my father's film 'Allari Alludu,' and it's a fun family entertainer.I believe in films that have logic behind every emotion or action.In most Telugu families, marriage is a union of two families, and 'Rarandoi Veduka Chuddam' presents conflicts from that aspect.I have no qualms approaching directors who I know will help me grow as an actor.I want to make every film different from my previous one."
74,Nana Patekar,"I am a better cook than actor.Cooking is like doing yoga. There is a lot of satisfaction in cooking food for others.My cooking style is exactly like my mother's.My mother is a very strong woman. We were seven kids; five of them passed away. My elder brother and I are alive. My mother lost five kids, her husband, her parents and siblings. But she is so strong, she is living for the people who are alive.I always do one film at a time.I would have loved to work with Satyajit Ray.I wouldn't say I have a bad temper.Bipasha is a very sincere and professional actor.That is my style. I work when I feel like working.When you serve the country selflessly, that is your greatest contribution to the country."
75,Naseeruddin Shah,"I can say with pride that I have a brother who served with distinction in the Indian Army.I have the highest regard for the police forces.I feel anxious for my children because tomorrow, if a mob surrounds them and asks, 'Are you a Hindu or a Muslim?' they will have no answer.I had decided never to dye my hair because by doing that, it doesn't make a man look young. In fact, I feel the wrinkles on a man's face become more prominent when you dye your hair.I am the king of old school romance.I had many doubts while writing my autobiography. I wasn't sure if anyone would be interested to read about my life.A person takes his own path. My father tried to guide me the best way he thought I should go, and it didn't work. I went the way I wanted to.I was lucky to land up in Mumbai when serious cinema was just beginning to flower.One would marvel on the screen the way Shammi Kapoor walked, Dilip Kumar cried, or seeing Dev Anand's style. And then, one day, you are in the same space with them. It's very unreal.When I see an emotion being enacted by a great actor, I always feel I can never do that."
76,Nawazuddin Siddiqui,"I am from a family of farmers from Budhana near Muzaffarnagar.When I had no money, I would find out which friend had work and money at that point in time and would go and stay with him for a week. All of us theatre guys did that.Even though I hated doing farming and wanted to just get out of the village, I would work from 5 in the morning till 5 in the evening.There was electricity in our village only for 2-3 hours a day, so all my life, I studied under a lamp.Behind every easy role, there is a lot of hard work that goes in.It's very difficult switching over from one character to another.'Freaky Ali' may look like an easy role to others, but it is not easy.For me, as an actor, there is no commercial or independent or art cinema. For me, it's a character that is given by the director. And it is a task for me that I have to fulfill it to the best of my ability regardless of the kind of film that it is.I still can't believe it when people say I am a celebrity.Being a recognised face has its problems. I miss the freedom to go anywhere I want to."
77,Neil Nitin Mukesh,"Music is something that I've been passionate about. I play the piano and sing, but I always knew that it was never going to be my bread and butter. I was very interested in acting.When a film doesn't do well, people start doubting you as an actor.I am simple and an open book. I don't like ambitious and materialistic people.I don't believe in rebound relationships and happy sex. Everything has to happen with dignity.Creativity has no boundaries.I don't see myself doing slapstick movies or being a part of them, even if they get the box office ringing. It's not my space; I haven't reached that point.I always put myself in the audience's place and see if, as a viewer, I would want to see the film. If yes, then I want to know who's directing it, what my character is, and if it's impactful. If all these points fall in place, I'll do the film. If not, then I won't think twice before saying no.I think nothing's better than lots of water and a good night's sleep to rejuvenate yourself.'Game of Thrones' is one of my favourite series.My mom once told me that she wants to be born as my girlfriend in the next birth because she sees me how I am, I am extremely expressive, and she loves me for that."
78,Nivin Pauly,"Honestly, I always wanted to be a star. It's a dream.If a film becomes successful, the actor is blamed for being commercial and not having a true love for movies. When we do serious films, we will be blamed for not planning our career properly. I believe that what one should do is to make good cinema and try to make it successful.Like any other actor, I want to work with good directors, and I always look for good scripts. I've had to say no to some people; I suspect that's the reason I'm called arrogant.I don't think I have reached that stage where I can evaluate my career. I still have a long way to go. All I wish for now is to make sensible moves and to choose wisely. It doesn't matter if there are gaps between films, as long as the ones I do give me the satisfaction of having done something good.I don't want to adhere to any particular image. I have tried to bring in variety to my characters. But then, only a few actors have managed to earn this tag of a romantic hero. Many have aspired to get such a label. So I am not complaining.When you are successful, there is this tendency to repeat the elements that we believe have worked in a certain film. Then it becomes formulaic, and there is no getting back.I don't do many films at the same time, as I don't like to switch between characters. At a given point, I would like to get into the skin of whatever character I am playing.I have been doing a lot of romantic movies, so such roles don't excite me much now. I would like to play an out-and-out, really cruel villain once. My character in 'Da Thadiya' had such a streak, but I want a full length villainous role. It is a different kind of excitement.My wife knows that interacting with actresses is all part of the job, but there is a line which I'm not supposed to cross, and as long as I don't cross it, there are no problems. She doesn't bother with whatever I do onscreen. But the line is always there!I am happy being an actor. Donning the hat of a producer was a tough job and a different experience, as it involved watching the crew's requirements, keeping track of the finances, and also perfecting my role as an actor. But it was a tremendous learning experience."
79,Om Puri,"It is my first preference to do films with social significance. Art cinema has given me credibility and status as an actor, but commercial cinema has given me a comfortable living.I prefer working in good cinema, wherever it is. I like subjects that have a universal appeal.What Bollywood lacks is scripts. A lot of the films are copies of western films.When I was at school, I wanted to join the army. At college, I started acting in college plays, and it became a kind of addiction. I was very shy when I was at school, but the plays seemed to give voice to my feelings.I had hoped when my life was chronicled, it would be an inspirational story.When Nandita expressed a desire to write about me, I couldn't stop her because she's my wife, but she has forgotten who she is.Parallel cinema has not made an effort to communicate in a language the other person understands.Actors are just soldiers who follow commands.I have been in the film industry for 35 years, and everyone, including the spot-boys, will vouch for my character.I don't spend on expensive brands. I don't need foreign holidays."
80,Pankaj Tripathi,"I did not become an actor to earn money - that I could have done it in my village by becoming a farmer. I wanted to show my craft, which I am so passionate about.I had never thought that so many people would know me, will talk about me, and most of all, I will be given a National Award.One mistake and all this attention may just disappear one fine day. So I prefer to remain grounded.My wife used to work as a teacher and support me, and now I can do something for her, which is very satisfying for me.We used to live in a rented house in Mumbai, and now we live in our own house. That, for me, is success.Commercial films give you a wide exposure. For 'Dilwale,' I got calls from countries like Oman. Its reach is huge. Similarly, doing independent projects satisfy the actor in you.'Newton' is a black comedy, a social satire. Amit Masurkar is directing the movie, and Drishyam films is producing. Rajkummar Rao is in the movie. I am playing a very important character. It is a very interesting project.'Masaan' was a small role, but people connected with it. I loved playing a man who does not have many complexities in life. I was inspired by my father for this role. You find such characters in novel or in stories. You don't find such parts in movies where characters are either good, bad, or grey.I am happy with my career.I am still a villager who fell in love with acting."
81,Paresh Rawal,"Whatever I want to do or say, I get to do it on the silver screen, so in normal life I don't feel the necessity to do or say anything.Films are meant for the masses, for the purpose of entertainment.I would loved to be called a character actor.Criticism is okay from people who know the finer points of cinema.I enjoy doing all types of role, small or big.Firoz Nadiadwala is a close friend; he was the first person who asked me to direct a film for him. I would like to have him as my producer for my directorial debut.Except theatre, there is no medium which can satisfy good artistes in India.I do theatre for my personal satisfaction and enjoyment.I do enjoy cricket, but the game is over hyped.Just because good films don't work does not mean we should stop making them."
82,Pawan Kalyan,"I have always wanted to be a gardener, and I love the time I spend in my garden.I have been a depressed kid. I wanted to lead a quiet life, never wanted to be an actor.Nature, philosophy and social issues are the three things that always occupy my mind. You do not have any power over others but can only change yourself.If I do not respond to some situation, my conscience kills me. I believe in permissible violence, not necessarily non-violence.I never wanted to become an actor. I always wanted to be a farmer and dreamt of owning half an acre of agriculture land.It's destiny that pushed me towards showbiz. I wanted to start off as a technician, but out of compulsion, I became an actor.Many will call me an adventurer, and that I am, only one of a different sort: one of those who risks his skin to prove his platitudes.The revolution is not an apple that falls when it is ripe. You have to make it fall.I'm Indian. I care for our Motherland.There is a latent talent in everyone. I am nothing extraordinary just because I happen to be an actor. Everybody is extraordinary in his own way. One must identify one's own talent early on - one is not great merely when he gets recognized by others - and one doesn't become a nobody just because his talent is not widely known."
83,Prabhas,"I was the laziest person around. Suddenly, one day, I decided to become an actor. Thank God for that whimsical decision: else, by now, I'd have been a 140-kilo, butter-chicken-bingeing hotelier.I was just lucky to be a part of this phenomenon of Indian cinema. Perhaps no other film can ever match the magic and awe of 'Baahubali.'I watch a lot of Hindi films. I live in Hyderabad, where 60 per cent of the people speak Hindi.I made a good association with Karan Johar. If I want anything, I think I can ask him. He has helped us a lot.In Hollywood, the guy who plays Batman and Spiderman also plays normal characters. The biggest stars in the world want to play different characters. We can't give the excuse that because an actor played a superhero in his previous film, his next one won't work.If the script is not good, the film will not work.People recognise me from all over the country, which we didn't expect.Dubbing for myself in Hindi is a big task. I know Hindi. I can read and write Hindi, but I dont normally speak the language, and that is very important.I want my films to be entertaining: not comedy, but something which is gripping.I still have that South Indian accent. But I am working on it. Hindi audiences should feel that I am speaking like them and should relate to me."
84,Prakash Raj,"Politics is a conversation between the contestant and the voter.You are not electing your parliamentarian or your MP to the corridors of power. You are electing them to the corridors of responsibility.Everybody has their manifesto; let them talk their language, come to the people, and the people will decide. In a democracy, no party or candidate wins or loses. If you, the people, chose a wrong man, you lose; if you chose the right one, you win.To be known as an actor is to be known for your role and lines. But the country knows me for the stance I have taken, for the villages I have adopted, the social work I do, the comfort zone I have left.I'm responsible for what I say, and that is the identity for Prakash Raj.When I help a farmer, I don't differentiate between them based on their region, as farmers have no borders. I want to live like a world citizen and react like a human being.People know me as Prakash Rai in Karnataka. Let it be so. But I'm known as Prakash Raj to the rest of India and abroad. Every actor worth his salt gets a name after coming to films.In the Constitution, there is no idea of a political party. It is representatives of every constituency because it is so vibrant and varied.Majoritarian is when a majority takes a decision. It is not dictatorship. It is about which issue is major.A job is a person's identity in a society, his way of living, and his relevance in society."
85,Prateik Babbar,"We, as a society, need to be open-minded.The biases in our society stems from the orthodox mentality. It is very deep-rooted in our country but we need to wake up.There are too many different kinds of people in this world. Not just drags or gays, everybody is different from each other. We should proudly own our individuality.I was always aware Mom was someone who was recognised, admired and loved.I know I must be true to myself.I have no choice but give my best, even if it is a small role. There are a lot of expectations from the family and industry.My grandparents and my aunts tell me that I need to make a name for myself like my mother. Their thoughts really motivate me.It is not about being a hero or a villain; I want to be a solid and passionate actor.I don't want to limit myself as an actor.Life is nothing without ups and downs."
86,Prithviraj Sukumaran,"We have always wanted to give back to cinema, and we couldn't possibly think of a better way to do that than facilitate films which we believe will make Malayalam cinema proud.Since I'm serious about a career in Hindi films, I'd have relocate to Mumbai.Though Suparna is a Malayali, she has spent a large part of her life in Mumbai. She's a Mumbai girl. In fact, I saw the real Mumbai through Suparna's eyes. Of course, I knew Mumbai before I got to know Suparna. But it was Suparna who showed me sides to Mumbai I had never seen.I am in no rush to get anywhere.I can read and write in Hindi.'Aurangzeb' for me is a right film, as there is action and drama.We were shooting for 'Aiyyaa' in Yash Raj studios, and I got an offer for 'Aurangzeb.' That's the only time I went for an audition.If people say Rani Mukerji recommended me, than I have no issue. If someone says that, then I enjoy that kind of news. I don't mind people writing such stories.I never went and searched for a Bollywood film. It just happened naturally... it was a natural course.'Aiyyaa' was not the first film that I was offered in Hindi... it was the first film that I wanted to do in Hindi."
87,Prosenjit Chatterjee,"I don't have a fixed fitness regime, as everything depends on my work schedule and my fitness instructor. But I make sure that I work out 365 days a year for at least one and a half hours, no matter what.Well, being fit is not about flaunting muscles or biceps. Being fit is about flexibility and fit is about flexibility and body composition.I take eight meals a day.Working out, for me, is like brushing my teeth. So, I can't cheat on that.I have not planned my Bollywood career the way I have planned my career in Bengali films.I was never serious about Bollywood films, but when I was offered a film like 'Shanghai,' I took it because it is a good film.In my Bengali films, I am involved with all the promotional activities, release date posters etc.I love to prepare for my roles.The memories of shooting in Iceland are amazing.For me, it was more challenging to become Netaji, as I don't have the same physical built or look like him."
88,R. Madhavan,"'Tanu Weds Manu's brilliance lies in the fact that it makes the middle class want to be aspirational.I eat exactly three times a day: breakfast, lunch and dinner. I sit quietly for 20 minutes without anybody disturbing me, and I chew each mouthful 60 times.I have found out what I am allergic to, and I am trying to avoid that in my daily food intake.I don't have anything fresh in terms of raw foods or salad after 4 P.M. And no food after 7 P.M.I eat before I feel hungry. I know that when you order food or shop on an empty stomach, you always tend to over-eat, over-order, or over-shop. So I always eat slightly before I'm famished.I value my independence a lot, and the thought of having to lose that due to age or any other reason terrifies me.I might sound audacious, but the Mahatma has been a great inspiration. He had the conviction to live with his beliefs in the face of total disbelief.Oh, I have very limited will power. I wish I could change that. I am working on it, though. I am too easygoing.I dislike the trait of ungratefulness.If I could, I would like my son to study in Jamshedpur, where I did my schooling."
89,Rahul Dev,"I can't be the villain that I play in the movies.I was the first guy from a modelling background to successfully venture into films.It's fantastic to be associated with television.When I look at character artistes, they begin after 40. For instance, Boman Irani took up his first film after he was 40. Since I too, am in my 40s, I think I am finally getting to be in my zone.If you look around, 90 percent of marriages are cliches - people aren't genuinely happy even if they look happy together.I was nominated as one of the most promising entrepreneurs by a business magazine a long time back. I worked in Telco way back in 1993 and then started my leather business.A film career is a natural progression for any model and i'm sure this trend will continue.In many households today, the woman is also a bread winner and with this financial independence comes the power of making choices.To be successful in Bollywood, one needs a certain body type.One of the biggest lessons I've learnt is patience. It's critical when raising a child."
90,Raj Kapoor,"A woman always has her man, but the man unconsciously leans on his roots, his heritage. He feels like an orphan without his parents.I think we brothers realised his loss more and more as we grew older. We actually grew closer after his death.I've struggled a lot for what I have today.Once, he was chosen to play Ram in a small Ramleela company, but his parents were against it."
91,Rajesh Khattar,"I am extremely frustrated with my son Ishaan Khattar being referred to as 'Kapur' time and again in the media. I am anguished and feel helpless.For me, becoming a father at 50-plus was another challenge, but then, I am neither the first one, nor the last in this category.I would never give a piece of advice whether it is a personal or professional one as I don't believe in it.After a time, all children have to be on their own. Though as parents you always want to cushion them, however, when life throws new challenges, they have to take their own calls.A lot of nepotism that exists, actually, exists outside this industry because in this industry, behind the camera a director's son becomes a director and a producer's son becomes a producer and that is still understandable that they are carrying their legacy but for actors, it is very very different.Like I say, every child is born with his or her destiny; what he does with it is what matters.After acting for four years, in five languages, theatre became my stepping stone to TV and cinema.I was fortunate enough to work with legends like Hrishikesh Mukherjee, Basu Chatterjee, Vijay Anand and Yash Chopra, and contemporary filmmakers like Farhan Akhtar and Karan Johar.While acting with Amitabh Bachchan, the legend of Hindi cinema, and superstars like Shah Rukh Khan, Ajay Devgn and Akshay Kumar, I observed how they interpret cinema and make it an experience to cherish for their audiences.My son Ishaan's passion for movies and his exposure to world cinema infuses me with optimism."
92,Rajinikanth,"I used to have a private... life. Now I dont have that... I have no freedom. I miss my normal life terribly. Its a prison-like life I'm leading.God gave me an actor's role; I have done that well. God gave me now a political role, and I am 100 per cent sure I will perform that well.By God's grace, the only property my parents gave me was a good body. No BP, no sugar, no hereditary problems. Small build, tight skin.If I get a good character, a suitable role, a good producer-director, only then will I do a film.I go to the Himalayas after every film. I go alone. I go to the interiors, to the villages. Being there itself is like meditation.To ride two horses at the same time is difficult.They say not everyone can be MGR. I agree. MGR is a revolutionary. Not in a 1,000 years can there be another MGR. If anyone says he will be the next MGR, he is insane. But I have the confidence that I can give the government that MGR gave to the people of Tamil Nadu.It is not right to play politics with education.Due to God's grace and a good director, I became successful.Everyone's amazed by the question that how did I succeed as an actor in the industry, which has Kamal Haasan? It's because I grew as an actor watching Kamal's acting."
93,Rajkummar Rao,"No, nothing much has changed in me as an actor. Since the day I started out, I always wanted to be part of good stories. The only thing that has changed is now I have options of good stories to choose from.A film like 'Kai Po Che!', 'Queen', 'Behen Hogi Teri' and 'Bareilly Ki Barfi' are not really independent films.I want to work with Darren Aronofsky, Damien Chazelle, Alejandro Gonzalez Inarritu and, of course, Majid Majidi.It's very tough for someone who doesn't have a filmi background to get work in Bollywood. It's not a smooth ride unless you are really lucky. But I think one has to be prepared for that.I don't know how my body would react if I don't eat for 10 days. In order to go through that experience, I almost did not eat or drink water for 15-20 days. I only had one carrot a day, a cup of black coffee, and a few sips of water.When I was in Class Four, I wanted to be an astronaut. I am still fascinated with the universe. I decided I wanted to be an actor when I was in Class Eight.After my schooling, I started theatre. By the time I graduated, I was doing theatre 24x7. Luckily, the FTII (Film and Television Institute of India) acting course started.People will invest in you only if they see some kind of return, and that's the dark truth.I feel since people have started noticing me and enjoying my performance, and considering the kind of love I've got in 2017-18, many feel that I have arrived, because there's a belief that I can probably carry a film on my shoulders now.I want to keep running. I don't ever want this journey to finish. And for that to happen, you can't put too much of your brain in doing things and can't connect too many dots because, anyway, there is no guarantee of anything."
94,Ram Charan,"My father is a big fan of Amitabh Bachchan and always wanted to work or star in a remake of any of his film. But he didn't get the opportunity.Nobody can be like Mr. Bachchan.Better a decent remake than a bad original, don't you think?We have to understand that content is king now. And it doesn't matter what the source of the content and where it's coming from, as long as it is workable.It is no longer important for me to be seen in every frame.I know my fans want me on the screen. But I think hero-worship should not be allowed to corrupt the plot and narrative of a film.I don't think 'Magadheera' should be remade, nor do I think it will be remade. It is very difficult to recreate the same magic.'3 Idiots' was remade in various languages down south, but it wasn't successful anywhere because the magic was created by Aamir Khan and Rajkumar Hirani.Some films shouldn't be remade.When I decided to work with Krishna Vamsi, people around me were apprehensive about my decision. They warned me that I shouldn't work with an unsuccessful director."
95,Ram Kapoor,"Platinum for me signifies everlasting love, which needs to be celebrated in the most special way.I enjoy all kinds of performances and take each role differently. I keep the audiences in mind.I love the process of acting, and to turn your passion into a career is the biggest gift.I think you have to be really lucky to pick the sort of roles you want to do.My dad is extremely successful, so I've seen the money and luxury growing up. I'm nowhere close to his stature.You can't take yourself too seriously; it's important to poke fun at yourself. Once in a while, it is great to show your inadequacies, too.You won't believe it, but for the first two years of our marriage I lived off my wife. Like every self-respecting man, I hated it.No one wants to work with a difficult star. I want to be the nice guy.Television has done a lot for me, and I can never stay away from it.When you do good work, people will notice you."
96,Rana Daggubati,"It's awesome that we can make more and more movies that are crossing boundaries.We see many posters and standees at cinema halls, and some catch attention. But these posters are soon forgotten. Taking a picture with the actors, enabled by AR, helps record a memory.Over time, I decided to take up only those stories I love.I didn't set out to be a regular hero.Give me something new, and I'll do it with all my heart.Not all stories are meant for the big screen.Social media is just a platform. What some people decide to do with it results in something good or bad.Every story has a place where it deserves to be told.While we were shooting 'Baahubali,' I had a knee injury, and a few months later, Prabhas injured his shoulder. Those two injuries meant a break of around five months from the schedule. So around that time, I was doing absolutely nothing, and Neeraj Pandey called me with 'Baby.'I want to do films that are genre-based and character-based."
97,Ranbir Kapoor,"Today, the paparazzi are not just photographers: everyone has a cell phone with a camera. If they see an actor, they click pictures to show it to their friends or have it on their phones and, as an actor, I don't see anything wrong with it. Having said that, there is a limit that has been crossed, but there is nothing right or wrong.What really matters is your movies and how good a person you are. Otherwise, tabloids and news channels writing about you only builds your curiosity and stardom and propels you to reach wider places.It's not that I am not emotional, but I am extremely secure and curb it, as I am afraid to let go and be broken. So, I have cultivated myself to be detached in life, specially where movies are concerned.I truly believe that God has given us few brain cells, and you have to direct them to the right things that make you happy.I think I've found a purpose in acting; it's something I truly love and truly enjoy. It makes me happy. It makes me understand more about life, in front of the camera, than what I'm living beyond the camera.I'm quite detached from failure and success. Once a shooting is done, I kind of close that chapter in my life.Happiness exists only if you have a lot of people to share it with.I'm not being really intelligent in my film choices; I'm just landing the opportunity when it comes.I don't think I can speak of the achievements of Indian cinema because it's so large next to me. It's not stopping. It's ever-growing. We are going towards the right direction. We are evolving as a filmmaking industry as actors, directors, producers, singers, musicians. Everybody just pushing the boundaries.At the end, it's your movie and your performance that stands out. So if I am a good actor, and if am being part of good entertaining engaging films, audiences will like me."
98,Randeep Hooda,"I never think about what others are doing. I do a film for myself, not others.I have this soft spot for have-nots. So, I was really inclined to portray their pain and pathos in 'Highway.'I would really love to work with Clint Eastwood.I used to run away from school to my village. But later, I went to the U.S. for studies and lost touch.I would often take this bus and go to a nearby village where I had hordes of animal friends. I was hardly around four or five years old then. The conductor was so used to seeing me hop on to the bus and get down at the same place, that he never asked any questions. The strangest part is, he never asked for a ticket either!Honestly, I find writing to be a very lonely job.From being a waiter, to a door-to-door salesman, to a car-washer, to a delivery boy - I have done it all.I find solace in animals. I have got a stray dog at home called Candy. I picked it up while I was waiting at the airport one day. I always wanted to have a 'macho' dog but got this sweet little thing instead.In all of us, there is a struggle between the good and the bad. It makes it more palpable and real to play such people as an actor.I feel very meditative when I ride. A horse does not know whether my movie is a hit or a flop or what is happening in my relationship."
99,Ranjeet,"I have lived life on my own terms.I did not have a godfather.I can say that I have lived very gracefully.Work is work for me. I can do any work in the field of acting. Be it films, television or theatre, I am willing to do anything.I was born in in Amritsar, the eldest of the four siblings.My father Dwarakaprasad Bedi had an electrical accessories factory in Delhi.Growing up, I played soccer and wanted to be a sportsman.During the mid-1980s, I felt my work was getting monotonous. I was shooting continuously, sometimes for 25, 30 films at a time.I wasn't good-looking like the heroes. But I had a good physique having been a goalkeeper. I was like a panther.Every woman is possessive though she may not show it."
100,Ranveer Singh,"I always wanted to be an actor ever since I was a little kid. I knew that I had to do something related to performing arts, and I enjoyed acting the most as it incorporated so many different art forms.I must say, I was a very filmy kid. I used to watch a lot of TV and get very influenced by Bollywood.My ambition was always to bag a lead role in a film, and hence, I refrained from doing any ads, TV serials, music videos, as I felt that a fresh face always works much better. It was a gamble, and I took that gamble telling myself that I will give it my all to bag a lead role.I just stick to my job, which is acting. Things like posters, publicity material, and promotions are entirely the film-maker's prerogative. I don't get into all of that.Let me put it this way: if I am the leading man of the film, and the film-maker is asking me to support him in a certain aspect so as not to burden the budget of the film, I will do whatever I can to support his vision.I treat all women with the utmost respect both professionally and personally and would never do anything to disrespect them.Ever since I was a little kid, the only thing that fascinated me, excited me, and engaged me was Hindi films. I didn't know anything beyond Hindi films. I was a 'filmi bachcha.'I just love being in front of the camera making people laugh, cry, entertaining them. It's the 'nasha' of performance that I enjoy. It's my calling, and I'm blessed to be able to do that for a living.When I was launched in 2010, people told me that I wasn't the best looking guy, so I would have to act really well. I am aware that I am not conventionally good looking. I have heard it so many times that I have started believing it.I have grown up believing that when an individual excels at what he does, it makes him desirable. I am a living example that lack of conventional good looks shouldn't hinder you from being awesome."
101,Ravi Teja,"I just trust the director and never overanalyse the script, screenplay, etc. You are just taking a bet at the end of the day, so confidence, be it on the filmmaker or the script, is all that counts.We all do films believing in them completely, but sometimes, the audiences like what we like, and other times, they don't.I can't work with people who aren't fun loving. I don't encourage such people.I'm shy by nature and don't like talking about myself, and would let my films do the talking.I experimented with different roles, but they didn't work, despite being fantastic films like 'Naa Autograph,' 'Sambo Siva Sambo,' 'Neninthe'... etc. I was very satisfied doing those roles. Had those films worked for me, I perhaps would not have tried anything different further. I like to experiment once in a while if it works.I haven't got an opportunity to experiment with the dimensions of my moustache much. But yes, if the role demands, I'm ready to shave it off. I feel it's good to have moustaches for South films, but I'd love to remove my moustache; why not?Comparison is a disease. I never felt any competition, since I never compared myself to others. I only focus on my work. I never feel pressurised and do films in my style. Also, I'm very active since childhood, and that gives me the edge to always put my best.Lot of work can be completed by 7 A.M.; people who wake up at 10 and 11 don't know what they are missing.I seek speed, clarity, and a practical approach in people I mingle and work with. I can't see myself working in films that stretch beyond maximum four months.I cannot handle dull, lazy, morose people. I have been like that since childhood."
102,Rishi Kapoor,"Beef is not allowed in my house.If our Hindu culture forbids beef meat, does the same culture give you the right to abuse me and my family just because I have an opinion that you don't agree with?I respect religious rules. I am a true God-fearing Hindu.I am not advocating beef eating. But I am advocating freedom to have an opinion and a voice.If you want rubbish, you will get rubbish.It was a stroke of luck when I worked in 'Agneepath.' It was a great role, something different for me.I have tried to look different and play different roles through my life because I am passionate about my work.My first love is acting, not directing.My entire family has been part of the film industry for many years.There are ups and downs in every relationship. But that does not mean that couples should separate or get down to inhuman behaviour."
103,Riteish Deshmukh,"I think any kind of comic sequence is as easy and as difficult as it is written. So, if it is written well, then it becomes easy. Sometimes you find it difficult because the humour is not coming out.The beauty of a relationship is when you get used to a person; it is not sudden. It is just a process, and you don't realise when love happens.I didn't know how it was to be a bachelor. I never felt like one. I think it's a mental state.Acting has been my first passion, and turning a producer was a natural progression.It's such a lovely feeling to be in love, to marry the person you love and finally to be with that person. I feel the romance should never go out of any marriage. Even after one has had kids, etc. Love never ends, na?Life itself has so much politics, why should I make it my profession? I'm just a politician's son, not a politician myself. Two politicians, that's my dad and elder brother, in the family are enough. I'm happy doing my own stuff in Bollywood.I like to watch films with my wife and friends. That's how films should be watched. Only then can you enjoy the movies. Then whether it is raunchy or not, hardly matters.I just can't resist mutton biryani. It's something I've loved eating as a child too. Whenever I'm feeling low, I just pep myself with some good biryani.I love to watch movies and play cricket.When it comes to politics, there's never a certain yes or no to any situation."
